sno;id;name;category;image;model_number;brand;color_family;link;newprice;oldprice
59;NI023EL09PCO;Nillkin Slim Case for Samsung Galaxy Note Edge (NE-NL-TPU-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/09/3861/1-product.jpg;NE-NL-TPU-C;Nillkin;Transparent;https://en-ae.wadi.com/slim-case-for-samsung-galaxy-note-edge-ne-nl-tpu-c-clear-168390.html;50;50
60;NI023EL10PCN;Nillkin Back Cover for Nokia Lumia 930 (N930-NL-SS-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/98/3861/1-product.jpg;N930-NL-SS-W;Nillkin;white;https://en-ae.wadi.com/back-cover-for-nokia-lumia-930-n930-nl-ss-w-white-168389.html;50;50
61;NI023EL11PCM;Nillkin Back Cover for Nokia Lumia 930 (N930-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/88/3861/1-product.jpg;N930-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-930-n930-nl-ss-b-black-168388.html;50;50
62;NI023EL12PCL;Nillkin Back Cover for Nokia Lumia 925 (N925-NL-SS-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/78/3861/1-product.jpg;N925-NL-SS-W;Nillkin;white;https://en-ae.wadi.com/back-cover-for-nokia-lumia-925-n925-nl-ss-w-white-168387.html;50;50
63;NI023EL08PCP;Nillkin Back Cover for Google Nexus 4 (NEX4-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/19/3861/1-product.jpg;NEX4-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-google-nexus-4-nex4-nl-ss-b-black-168391.html;50;50
64;NI023EL13PCK;Nillkin Back Cover for Nokia Lumia 925 (N925-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/68/3861/1-product.jpg;N925-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-925-n925-nl-ss-b-black-168386.html;50;50
65;NI023EL14PCJ;Nillkin Back Cover for Nokia Lumia 920 (N920-NL-SS-W, White);Mobile Cases & Covers;https://f.wadicdn.com/product/58/3861/1-product.jpg;N920-NL-SS-W;Nillkin;white;https://en-ae.wadi.com/back-cover-for-nokia-lumia-920-n920-nl-ss-w-white-168385.html;50;50
66;NI023EL15PCI;Nillkin Back Cover for Nokia Lumia 920 (N920-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/48/3861/1-product.jpg;N920-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-920-n920-nl-ss-b-black-168384.html;50;50
67;NI023EL16PCH;Nillkin Back Cover for Nokia N9 (N9-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/38/3861/1-product.jpg;N9-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-n9-n9-nl-ss-b-black-168383.html;50;50
68;NI023EL17PCG;Nillkin Back Cover for Nokia Lumia 820 (N820-NL-SS-B, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/28/3861/1-product.jpg;N820-NL-SS-B;Nillkin;black;https://en-ae.wadi.com/back-cover-for-nokia-lumia-820-n820-nl-ss-b-black-168382.html;50;50
